iter	RMSE
0	4294.103328
1	4010.706046
2	3765.781411
3	3545.426516
4	3355.261512
5	3190.996216
6	3046.147248
7	2918.679084
8	2807.068848
9	2711.407898
10	2616.732049
11	2534.62012
12	2463.652779
13	2402.061831
14	2350.811809
15	2307.349194
16	2261.209503
17	2225.019583
18	2192.885636
19	2154.284576
20	2121.720012
21	2092.724232
22	2067.371086
23	2044.249065
24	2025.856218
25	2003.34181
26	1984.129429
27	1967.273533
28	1951.839502
29	1939.164284
30	1927.402749
31	1915.640438
32	1906.79245
33	1898.128153
34	1890.351312
35	1885.228619
36	1879.749988
37	1873.51645
38	1868.113274
39	1861.906703
40	1858.417272
41	1853.507785
42	1848.781069
43	1844.405144
44	1840.804608
45	1837.683767
46	1834.38198
47	1828.671292
48	1825.156603
49	1821.94467
