iter	Passed	Remaining
0	121	5941
1	229	5518
2	348	5466
3	460	5300
4	564	5083
5	669	4913
6	774	4757
7	878	4610
8	984	4485
9	1091	4367
10	1198	4248
11	1301	4120
12	1403	3995
13	1530	3935
14	1632	3809
15	1735	3688
16	1838	3568
17	1938	3445
18	2041	3330
19	2140	3211
20	2240	3093
21	2344	2983
22	2469	2899
23	2579	2794
24	2677	2677
25	2781	2567
26	2886	2458
27	2986	2346
28	3086	2234
29	3185	2123
30	3287	2014
31	3391	1907
32	3514	1810
33	3614	1701
34	3716	1592
35	3818	1484
36	3918	1376
37	4020	1269
38	4120	1162
39	4222	1055
40	4321	948
41	4418	841
42	4519	735
43	4621	630
44	4722	524
45	4823	419
46	4925	314
47	5024	209
48	5126	104
49	5227	0
